txn_id,account_no,amount,status,date,city,branch_name,product
T2200,82927,2995.52,success,2025-05-05,chennai,branch4,Insurance
T2201,53716,2085.72,failed,2025-05-02,chennai,branch4,Mutual Fund
T2202,16118,1740.35,failed,2025-05-01,chennai,branch4,Loan
T2203,61107,3794.77,failed,2025-05-02,chennai,branch4,Mutual Fund
T2204,20929,1839.76,success,2025-05-04,chennai,branch4,Loan
T2205,92459,2119.3,failed,2025-05-01,chennai,branch4,Mutual Fund
T2206,58457,1675.58,failed,2025-05-04,chennai,branch4,Insurance
T2207,29436,668.63,failed,2025-05-03,chennai,branch4,Insurance
T2208,50526,2624.66,success,2025-05-05,chennai,branch4,Savings
T2209,30825,8617.77,success,2025-05-07,chennai,branch4,Loan
T2210,67903,1726.15,success,2025-05-06,chennai,branch4,Savings
T2211,71120,480.84,failed,2025-05-07,chennai,branch4,Savings
T2212,40701,1642.95,success,2025-05-03,chennai,branch4,Insurance
T2213,51710,6324.3,failed,2025-05-06,chennai,branch4,Savings
T2214,60423,5260.76,success,2025-05-07,chennai,branch4,Mutual Fund
T2215,23395,5879.17,failed,2025-05-03,chennai,branch4,Savings
T2216,94931,4688.49,failed,2025-05-05,chennai,branch4,Savings
T2217,70693,9896.18,success,2025-05-02,chennai,branch4,Loan
T2218,92394,6639.56,failed,2025-05-06,chennai,branch4,Savings
T2219,32518,8410.17,failed,2025-05-04,chennai,branch4,Savings
T2220,37225,3171.79,failed,2025-05-06,chennai,branch4,Loan
T2221,87622,8195.1,success,2025-05-02,chennai,branch4,Mutual Fund
T2222,27834,5844.51,failed,2025-05-01,chennai,branch4,Mutual Fund
T2223,70081,3726.34,success,2025-05-02,chennai,branch4,Mutual Fund
T2224,26064,5297.39,success,2025-05-06,chennai,branch4,Loan
T2225,21634,3610.02,failed,2025-05-05,chennai,branch4,Mutual Fund
T2226,31264,5208.76,failed,2025-05-04,chennai,branch4,Mutual Fund
T2227,67549,8343.01,failed,2025-05-02,chennai,branch4,Mutual Fund
T2228,16592,3905.87,success,2025-05-06,chennai,branch4,Insurance
T2229,41753,4502.54,success,2025-05-07,chennai,branch4,Mutual Fund
T2230,75499,2989.47,success,2025-05-06,chennai,branch4,Savings
T2231,37622,4691.48,success,2025-05-03,chennai,branch4,Insurance
T2232,46923,9620.0,failed,2025-05-05,chennai,branch4,Insurance
T2233,35569,8300.51,failed,2025-05-04,chennai,branch4,Loan
T2234,80038,8956.92,success,2025-05-07,chennai,branch4,Savings
T2235,44268,8152.38,failed,2025-05-01,chennai,branch4,Loan
T2236,88669,6918.91,success,2025-05-03,chennai,branch4,Mutual Fund
T2237,72698,9366.63,success,2025-05-01,chennai,branch4,Savings
T2238,21323,6412.7,failed,2025-05-06,chennai,branch4,Insurance
T2239,42543,7878.77,failed,2025-05-05,chennai,branch4,Savings
T2240,43737,2351.9,success,2025-05-02,chennai,branch4,Savings
T2241,36809,706.63,success,2025-05-03,chennai,branch4,Loan
T2242,30072,1707.68,failed,2025-05-04,chennai,branch4,Savings
T2243,19394,5122.66,failed,2025-05-03,chennai,branch4,Mutual Fund
T2244,35270,6360.41,failed,2025-05-05,chennai,branch4,Savings
T2245,72725,6159.26,success,2025-05-03,chennai,branch4,Insurance
T2246,39011,5987.61,success,2025-05-07,chennai,branch4,Mutual Fund
T2247,32839,8130.42,success,2025-05-02,chennai,branch4,Savings
T2248,10153,7665.33,success,2025-05-02,chennai,branch4,Insurance
T2249,76329,9241.16,success,2025-05-04,chennai,branch4,Mutual Fund
T2250,69296,4094.27,failed,2025-05-07,chennai,branch4,Insurance
T2251,44491,1708.17,success,2025-05-04,chennai,branch4,Insurance
T2252,30962,8216.67,success,2025-05-03,chennai,branch4,Loan
T2253,27308,792.36,failed,2025-05-02,chennai,branch4,Loan
T2254,46923,2660.56,success,2025-05-01,chennai,branch4,Loan
T2255,70181,290.47,success,2025-05-02,chennai,branch4,Savings
T2256,34051,9415.24,success,2025-05-04,chennai,branch4,Loan
T2257,71431,557.9,failed,2025-05-04,chennai,branch4,Mutual Fund
T2258,68066,209.86,success,2025-05-07,chennai,branch4,Loan
T2259,88815,2127.75,failed,2025-05-07,chennai,branch4,Insurance
T2260,57158,2634.86,failed,2025-05-05,chennai,branch4,Savings
T2261,21395,1757.79,success,2025-05-01,chennai,branch4,Mutual Fund
T2262,10309,9068.82,success,2025-05-07,chennai,branch4,Insurance
T2263,36484,3529.05,failed,2025-05-04,chennai,branch4,Loan
T2264,48429,5337.33,failed,2025-05-06,chennai,branch4,Savings
T2265,56751,7896.33,success,2025-05-04,chennai,branch4,Insurance
T2266,40710,3461.87,failed,2025-05-03,chennai,branch4,Savings
T2267,15712,9100.4,failed,2025-05-04,chennai,branch4,Insurance
T2268,79740,3307.54,success,2025-05-01,chennai,branch4,Mutual Fund
T2269,19608,5138.15,failed,2025-05-07,chennai,branch4,Insurance
T2270,84773,1123.1,success,2025-05-02,chennai,branch4,Mutual Fund
T2271,64230,4626.52,success,2025-05-06,chennai,branch4,Insurance
T2272,53789,1103.64,failed,2025-05-06,chennai,branch4,Savings
T2273,92806,2734.51,failed,2025-05-02,chennai,branch4,Insurance
T2274,58632,5307.27,failed,2025-05-06,chennai,branch4,Mutual Fund
T2275,61657,9485.06,failed,2025-05-01,chennai,branch4,Mutual Fund
T2276,96597,5198.37,success,2025-05-06,chennai,branch4,Mutual Fund
T2277,37491,5773.15,failed,2025-05-02,chennai,branch4,Loan
T2278,20439,357.11,success,2025-05-02,chennai,branch4,Mutual Fund
T2279,58768,4931.56,failed,2025-05-04,chennai,branch4,Loan
T2280,57679,1116.7,success,2025-05-05,chennai,branch4,Loan
T2281,44905,8790.1,failed,2025-05-01,chennai,branch4,Savings
T2282,95901,8414.42,failed,2025-05-03,chennai,branch4,Savings
T2283,53445,4233.66,success,2025-05-04,chennai,branch4,Insurance
T2284,99080,6463.14,success,2025-05-05,chennai,branch4,Insurance
T2285,86076,5889.13,failed,2025-05-03,chennai,branch4,Mutual Fund
T2286,31998,8179.22,success,2025-05-01,chennai,branch4,Mutual Fund
T2287,98238,2029.83,failed,2025-05-02,chennai,branch4,Loan
T2288,36109,8597.09,failed,2025-05-04,chennai,branch4,Savings
T2289,95780,3683.91,failed,2025-05-05,chennai,branch4,Savings
T2290,15524,3556.22,success,2025-05-06,chennai,branch4,Loan
T2291,15278,1617.91,success,2025-05-06,chennai,branch4,Insurance
T2292,30127,4529.72,success,2025-05-03,chennai,branch4,Mutual Fund
T2293,10502,4980.27,failed,2025-05-05,chennai,branch4,Loan
T2294,28739,4417.99,success,2025-05-02,chennai,branch4,Savings
T2295,20358,6931.99,success,2025-05-03,chennai,branch4,Mutual Fund
T2296,93733,462.27,success,2025-05-03,chennai,branch4,Insurance
T2297,44182,4418.63,success,2025-05-01,chennai,branch4,Insurance
T2298,91195,722.47,failed,2025-05-04,chennai,branch4,Insurance
T2299,77290,3452.64,success,2025-05-02,chennai,branch4,Savings
T2300,95048,1349.02,success,2025-05-06,chennai,branch4,Mutual Fund
T2301,45866,6681.55,success,2025-05-02,chennai,branch4,Loan
T2302,74058,7177.9,failed,2025-05-04,chennai,branch4,Savings
T2303,86025,3962.62,success,2025-05-04,chennai,branch4,Insurance
T2304,54350,7562.17,success,2025-05-03,chennai,branch4,Insurance
T2305,41632,9417.65,failed,2025-05-05,chennai,branch4,Insurance
T2306,88857,2042.67,success,2025-05-06,chennai,branch4,Savings
T2307,64546,2017.06,failed,2025-05-03,chennai,branch4,Insurance
T2308,26316,5548.07,failed,2025-05-07,chennai,branch4,Insurance
T2309,69261,3645.6,success,2025-05-05,chennai,branch4,Insurance
T2310,12620,5479.41,success,2025-05-01,chennai,branch4,Savings
T2311,23172,4241.59,failed,2025-05-03,chennai,branch4,Insurance
T2312,33408,950.13,failed,2025-05-06,chennai,branch4,Insurance
T2313,66229,3777.26,success,2025-05-03,chennai,branch4,Savings
