txn_id,account_no,amount,status,date,city,branch_name,product
T6600,70122,9074.05,failed,2025-05-07,hyderabad,branch5,Savings
T6601,59162,5311.56,failed,2025-05-07,hyderabad,branch5,Loan
T6602,10449,123.05,success,2025-05-04,hyderabad,branch5,Mutual Fund
T6603,64597,5321.85,success,2025-05-06,hyderabad,branch5,Savings
T6604,32070,2381.99,success,2025-05-03,hyderabad,branch5,Insurance
T6605,57452,3371.47,failed,2025-05-01,hyderabad,branch5,Insurance
T6606,93120,3890.76,failed,2025-05-06,hyderabad,branch5,Mutual Fund
T6607,43121,860.74,failed,2025-05-02,hyderabad,branch5,Mutual Fund
T6608,92352,8840.83,success,2025-05-02,hyderabad,branch5,Insurance
T6609,64464,5487.24,failed,2025-05-05,hyderabad,branch5,Mutual Fund
T6610,24845,8364.03,failed,2025-05-05,hyderabad,branch5,Loan
T6611,52314,6180.73,success,2025-05-01,hyderabad,branch5,Insurance
T6612,19323,2219.86,failed,2025-05-04,hyderabad,branch5,Insurance
T6613,58262,2292.99,failed,2025-05-06,hyderabad,branch5,Loan
T6614,47135,5373.84,success,2025-05-02,hyderabad,branch5,Loan
T6615,47000,5812.33,failed,2025-05-05,hyderabad,branch5,Insurance
T6616,40412,9323.86,failed,2025-05-07,hyderabad,branch5,Savings
T6617,31707,2738.12,failed,2025-05-03,hyderabad,branch5,Mutual Fund
T6618,87966,4256.07,success,2025-05-05,hyderabad,branch5,Savings
T6619,93444,7667.87,success,2025-05-05,hyderabad,branch5,Insurance
T6620,52973,1477.68,success,2025-05-05,hyderabad,branch5,Insurance
T6621,56532,8220.29,failed,2025-05-04,hyderabad,branch5,Insurance
T6622,66822,8026.52,success,2025-05-03,hyderabad,branch5,Savings
T6623,65363,6155.5,success,2025-05-07,hyderabad,branch5,Insurance
T6624,45747,3938.77,failed,2025-05-07,hyderabad,branch5,Loan
T6625,28733,8969.84,failed,2025-05-04,hyderabad,branch5,Insurance
T6626,26516,4438.65,failed,2025-05-05,hyderabad,branch5,Insurance
T6627,63325,9577.96,failed,2025-05-07,hyderabad,branch5,Insurance
T6628,37905,4808.29,success,2025-05-06,hyderabad,branch5,Loan
T6629,96880,1735.27,failed,2025-05-01,hyderabad,branch5,Loan
T6630,76710,3944.68,failed,2025-05-06,hyderabad,branch5,Loan
T6631,99513,3397.0,success,2025-05-02,hyderabad,branch5,Insurance
T6632,76504,9294.41,success,2025-05-06,hyderabad,branch5,Insurance
T6633,48009,8222.31,failed,2025-05-01,hyderabad,branch5,Mutual Fund
T6634,97718,767.61,success,2025-05-03,hyderabad,branch5,Insurance
T6635,28643,9497.04,success,2025-05-03,hyderabad,branch5,Mutual Fund
T6636,78755,2446.08,failed,2025-05-07,hyderabad,branch5,Mutual Fund
T6637,66592,9809.25,success,2025-05-04,hyderabad,branch5,Savings
T6638,38221,1921.11,success,2025-05-06,hyderabad,branch5,Loan
T6639,75005,501.24,success,2025-05-03,hyderabad,branch5,Savings
T6640,54458,9932.38,failed,2025-05-04,hyderabad,branch5,Mutual Fund
T6641,13410,8878.98,success,2025-05-07,hyderabad,branch5,Loan
T6642,15604,6676.63,failed,2025-05-03,hyderabad,branch5,Mutual Fund
T6643,77660,5760.85,success,2025-05-05,hyderabad,branch5,Savings
T6644,81786,6126.7,failed,2025-05-06,hyderabad,branch5,Loan
T6645,85190,1279.9,success,2025-05-06,hyderabad,branch5,Savings
T6646,78076,2788.75,success,2025-05-03,hyderabad,branch5,Loan
T6647,17298,5684.8,failed,2025-05-07,hyderabad,branch5,Loan
T6648,69552,3748.36,failed,2025-05-02,hyderabad,branch5,Insurance
T6649,39029,5394.59,failed,2025-05-06,hyderabad,branch5,Insurance
T6650,65966,7708.5,failed,2025-05-01,hyderabad,branch5,Loan
T6651,14407,5998.86,success,2025-05-01,hyderabad,branch5,Mutual Fund
T6652,90503,8236.79,failed,2025-05-07,hyderabad,branch5,Loan
T6653,89820,687.48,failed,2025-05-01,hyderabad,branch5,Mutual Fund
T6654,39429,6847.2,failed,2025-05-04,hyderabad,branch5,Insurance
T6655,79123,3185.94,success,2025-05-07,hyderabad,branch5,Insurance
T6656,39520,8151.22,success,2025-05-01,hyderabad,branch5,Mutual Fund
T6657,45575,5767.89,failed,2025-05-03,hyderabad,branch5,Loan
T6658,63705,1658.89,success,2025-05-06,hyderabad,branch5,Loan
T6659,50524,4152.93,failed,2025-05-02,hyderabad,branch5,Savings
T6660,38364,1965.35,failed,2025-05-06,hyderabad,branch5,Savings
T6661,92651,6969.78,success,2025-05-03,hyderabad,branch5,Insurance
T6662,26932,3443.25,failed,2025-05-01,hyderabad,branch5,Savings
T6663,83578,6545.23,failed,2025-05-02,hyderabad,branch5,Mutual Fund
T6664,40475,303.74,failed,2025-05-07,hyderabad,branch5,Loan
T6665,80261,7277.1,failed,2025-05-07,hyderabad,branch5,Mutual Fund
T6666,69899,2346.18,success,2025-05-06,hyderabad,branch5,Insurance
T6667,85205,9154.38,success,2025-05-07,hyderabad,branch5,Mutual Fund
T6668,18431,7139.95,success,2025-05-07,hyderabad,branch5,Savings
T6669,52239,4076.65,failed,2025-05-01,hyderabad,branch5,Savings
T6670,71462,8314.88,success,2025-05-07,hyderabad,branch5,Insurance
T6671,55509,8929.27,failed,2025-05-06,hyderabad,branch5,Savings
T6672,35015,1508.61,success,2025-05-01,hyderabad,branch5,Savings
T6673,19265,8461.36,failed,2025-05-05,hyderabad,branch5,Loan
T6674,55574,2439.92,success,2025-05-04,hyderabad,branch5,Mutual Fund
T6675,32054,2580.53,failed,2025-05-04,hyderabad,branch5,Savings
T6676,73292,5327.42,success,2025-05-03,hyderabad,branch5,Savings
T6677,95154,2633.48,failed,2025-05-07,hyderabad,branch5,Insurance
T6678,38452,1812.6,failed,2025-05-03,hyderabad,branch5,Mutual Fund
T6679,28237,230.24,success,2025-05-05,hyderabad,branch5,Mutual Fund
T6680,23029,4785.7,success,2025-05-02,hyderabad,branch5,Mutual Fund
T6681,24493,2059.7,failed,2025-05-04,hyderabad,branch5,Loan
T6682,20425,2427.14,success,2025-05-02,hyderabad,branch5,Insurance
T6683,95696,9771.36,success,2025-05-06,hyderabad,branch5,Mutual Fund
T6684,84521,3336.19,failed,2025-05-02,hyderabad,branch5,Savings
T6685,49112,1536.77,failed,2025-05-02,hyderabad,branch5,Insurance
T6686,47591,1669.67,failed,2025-05-07,hyderabad,branch5,Savings
T6687,18333,7080.87,success,2025-05-03,hyderabad,branch5,Mutual Fund
T6688,13493,340.36,failed,2025-05-07,hyderabad,branch5,Mutual Fund
T6689,89060,2013.65,failed,2025-05-05,hyderabad,branch5,Insurance
T6690,74935,7096.1,failed,2025-05-05,hyderabad,branch5,Insurance
T6691,21686,9254.61,failed,2025-05-06,hyderabad,branch5,Mutual Fund
T6692,82625,5517.16,failed,2025-05-07,hyderabad,branch5,Loan
T6693,90508,7483.55,success,2025-05-01,hyderabad,branch5,Insurance
T6694,57582,2324.35,failed,2025-05-02,hyderabad,branch5,Savings
T6695,11485,6813.77,failed,2025-05-04,hyderabad,branch5,Savings
T6696,93092,6409.99,failed,2025-05-07,hyderabad,branch5,Savings
T6697,30370,5196.68,success,2025-05-05,hyderabad,branch5,Insurance
T6698,31627,8335.18,failed,2025-05-01,hyderabad,branch5,Loan
T6699,14028,3250.49,failed,2025-05-05,hyderabad,branch5,Loan
T6700,39544,6887.3,failed,2025-05-06,hyderabad,branch5,Savings
T6701,30768,9269.09,failed,2025-05-05,hyderabad,branch5,Loan
T6702,52239,1598.84,failed,2025-05-07,hyderabad,branch5,Savings
T6703,96878,5261.53,failed,2025-05-03,hyderabad,branch5,Loan
T6704,66666,115.27,success,2025-05-05,hyderabad,branch5,Loan
T6705,62483,4463.08,success,2025-05-02,hyderabad,branch5,Mutual Fund
T6706,81004,5147.8,success,2025-05-02,hyderabad,branch5,Insurance
T6707,14046,3622.14,success,2025-05-07,hyderabad,branch5,Savings
T6708,62569,4879.86,failed,2025-05-02,hyderabad,branch5,Savings
T6709,90295,6571.92,failed,2025-05-04,hyderabad,branch5,Loan
T6710,94439,5214.29,failed,2025-05-03,hyderabad,branch5,Loan
T6711,10551,4551.06,success,2025-05-02,hyderabad,branch5,Savings
T6712,80774,5677.15,failed,2025-05-05,hyderabad,branch5,Savings
T6713,90850,3394.83,failed,2025-05-04,hyderabad,branch5,Insurance
T6714,71949,6381.01,success,2025-05-02,hyderabad,branch5,Loan
T6715,71045,3756.71,failed,2025-05-03,hyderabad,branch5,Insurance
T6716,92701,2693.5,failed,2025-05-06,hyderabad,branch5,Mutual Fund
T6717,77222,3492.84,failed,2025-05-07,hyderabad,branch5,Loan
T6718,12316,1500.54,failed,2025-05-05,hyderabad,branch5,Loan
T6719,37911,8119.2,success,2025-05-01,hyderabad,branch5,Mutual Fund
T6720,43366,5919.52,success,2025-05-01,hyderabad,branch5,Loan
T6721,41946,8746.84,failed,2025-05-03,hyderabad,branch5,Mutual Fund
T6722,78218,2060.11,failed,2025-05-05,hyderabad,branch5,Mutual Fund
T6723,49894,5313.54,failed,2025-05-04,hyderabad,branch5,Insurance
T6724,90408,2689.99,success,2025-05-05,hyderabad,branch5,Insurance
T6725,82381,7059.11,success,2025-05-05,hyderabad,branch5,Mutual Fund
T6726,76460,6589.51,success,2025-05-01,hyderabad,branch5,Insurance
T6727,81282,1827.99,success,2025-05-02,hyderabad,branch5,Mutual Fund
T6728,19945,7613.18,failed,2025-05-06,hyderabad,branch5,Loan
T6729,95333,5478.87,failed,2025-05-07,hyderabad,branch5,Insurance
T6730,66418,9907.15,failed,2025-05-02,hyderabad,branch5,Loan
T6731,77856,5167.29,success,2025-05-05,hyderabad,branch5,Loan
T6732,26175,5758.04,success,2025-05-03,hyderabad,branch5,Mutual Fund
T6733,83290,8104.58,failed,2025-05-06,hyderabad,branch5,Loan
T6734,86138,4335.67,failed,2025-05-02,hyderabad,branch5,Loan
T6735,53004,7336.15,failed,2025-05-01,hyderabad,branch5,Mutual Fund
T6736,34347,949.78,failed,2025-05-04,hyderabad,branch5,Mutual Fund
T6737,92174,7554.03,success,2025-05-02,hyderabad,branch5,Loan
T6738,92046,6841.16,success,2025-05-02,hyderabad,branch5,Mutual Fund
T6739,52220,6450.87,success,2025-05-05,hyderabad,branch5,Mutual Fund
T6740,58936,9242.84,failed,2025-05-05,hyderabad,branch5,Loan
T6741,44095,4212.97,success,2025-05-02,hyderabad,branch5,Mutual Fund
T6742,38780,8083.43,success,2025-05-07,hyderabad,branch5,Insurance
T6743,82331,9986.92,success,2025-05-03,hyderabad,branch5,Savings
T6744,87487,8111.62,success,2025-05-01,hyderabad,branch5,Loan
T6745,62449,5476.11,success,2025-05-07,hyderabad,branch5,Savings
T6746,69374,487.89,success,2025-05-02,hyderabad,branch5,Savings
T6747,12368,7306.22,failed,2025-05-03,hyderabad,branch5,Mutual Fund
T6748,94551,5011.5,success,2025-05-03,hyderabad,branch5,Mutual Fund
T6749,75141,5324.14,success,2025-05-03,hyderabad,branch5,Savings
T6750,33538,2195.29,success,2025-05-01,hyderabad,branch5,Savings
T6751,97471,4614.51,success,2025-05-03,hyderabad,branch5,Insurance
T6752,45023,3025.74,success,2025-05-07,hyderabad,branch5,Loan
T6753,10107,6018.2,success,2025-05-03,hyderabad,branch5,Savings
T6754,58684,6823.38,failed,2025-05-05,hyderabad,branch5,Mutual Fund
T6755,50826,6918.15,success,2025-05-07,hyderabad,branch5,Loan
T6756,44673,5434.55,failed,2025-05-02,hyderabad,branch5,Insurance
T6757,93048,393.45,failed,2025-05-01,hyderabad,branch5,Loan
T6758,75866,5163.91,success,2025-05-01,hyderabad,branch5,Savings
T6759,24088,6463.3,success,2025-05-03,hyderabad,branch5,Savings
T6760,73058,9691.39,success,2025-05-01,hyderabad,branch5,Mutual Fund
T6761,96435,7695.79,success,2025-05-02,hyderabad,branch5,Savings
T6762,69501,3473.33,success,2025-05-07,hyderabad,branch5,Insurance
T6763,68583,5707.42,failed,2025-05-04,hyderabad,branch5,Mutual Fund
T6764,44399,8463.56,failed,2025-05-05,hyderabad,branch5,Mutual Fund
T6765,79176,3690.65,success,2025-05-04,hyderabad,branch5,Mutual Fund
T6766,99950,5832.74,failed,2025-05-06,hyderabad,branch5,Mutual Fund
T6767,36727,1985.43,failed,2025-05-06,hyderabad,branch5,Insurance
T6768,12356,4228.08,success,2025-05-04,hyderabad,branch5,Savings
T6769,64158,2113.31,success,2025-05-04,hyderabad,branch5,Savings
T6770,47270,9465.55,success,2025-05-05,hyderabad,branch5,Loan
